N,P,Fe,gNm1,gPm1,gFem1,dop,don,gDNm1,pop,pon,pofe,B,F,gBm1,gFm1,ro,prodB,prodN,fS,QnS,QnL,prodP,Jb,prodFe,mortB,QnQpS,QnQpL,QpS,QpL,muL,muS,JmuS
0.195134295223653,0.17304950052894,0.0006,0,0,0,0,0,0,0,0,0,1e-05,1e-08,0,0,18.897447665791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.200375262850666,0.173643705597835,0.000600448973948607,10.4819352540259,1.18841013779092,0,2.92292292e-08,5.5235782911841e-07,0.00110471565823682,8.76876876e-08,1.65707348735523e-06,0,1.2189707708e-05,1.10253455044294e-08,0.004379415416,2.05069100885885e-06,10.0279010026117,0.0031025,0.0586293313831165,0.470576657941961,0.100120966336883,0.100105397180125,0.00310378168188054,0.002737134635,9.31134504564161e-07,0.000365365365,10.0474907300478,10.0104887207296,0.00996477319829347,0.0100000509438494,328.748935057044,292.207696320581,0.20769632058117
0.202498311652298,0.173881896073617,0.000600627553046224,4.24609760326312,0.476380951563049,0,4.73056820279656e-08,5.77671025752985e-07,5.06263932691497e-05,1.38307897112444e-07,1.66540419965856e-06,0,1.35577060414667e-05,1.15426948323128e-08,0.00273599666693349,1.03469865576683e-06,10.0451746356541,0.003797745869475,0.0380834196121728,0.470572065651316,0.100197244870872,0.100172136578296,0.00379916156526318,0.00335227869783343,1.13974846957895e-06,0.000445467171641571,10.0767261520064,10.0171306635456,0.00994343235683954,0.0100000828523524,328.849087263948,292.291328510498,0.0836321899168005
0.206493368504178,0.174333783020504,0.000600967923007815,7.9901137037608,0.903773893773871,0,7.60641860457838e-08,9.60156608655623e-07,0.000764971165805277,2.21059153100884e-07,2.78516593671733e-06,0,1.57206490194923e-05,1.24188555773756e-08,0.00432588595605118,1.75232149012549e-06,10.0625478526712,0.00422520522592791,0.0424429243659242,0.470563317168539,0.100274521826168,0.100240170070686,0.00422668843885515,0.00372967747263204,1.26800653165655e-06,0.000495527753295868,10.1060289352365,10.0239018670236,0.00992224764729723,0.010000114865495,329.038875297569,292.449748304876,0.158419794378171
0.209368723022158,0.174657724676343,0.000601210410735228,5.75070903596001,0.647883311677789,0,1.04724731172151e-07,1.19239149445145e-06,0.00046446977159165,3.00062499697154e-07,3.38436845111596e-06,0,1.78847455719804e-05,1.31715699925886e-08,0.00432819310497621,1.50542883042603e-06,10.0799069602573,0.00490203438257973,0.049326955550148,0.470557089506377,0.100352215923251,0.100308752841312,0.00490363239615754,0.00432732792412932,1.47108971884726e-06,0.000574706458450403,10.1352403094855,10.0307279095052,0.00990131588980004,0.0100001469231618,329.175255050846,292.563649232415,0.113900927538942
0.212916881730042,0.175058480050959,0.000601510997232356,7.09631741576752,0.801510749233073,0,1.3976150527699e-07,1.57934669765989e-06,0.000773910406416882,3.97020908718814e-07,4.46489103024843e-06,0,2.05263983459442e-05,1.40771824207932e-08,0.00528330554792754,1.81122485640919e-06,10.0972906643667,0.00557909995908246,0.0562368085095264,0.47054937941248,0.100430655394861,0.10037831887999,0.00558079651042913,0.00492513838182079,1.67423895312874e-06,0.000653961577261673,10.1643944552651,10.0376521524155,0.00988063340485944,0.0100001790613788,329.344056001229,292.704617085154,0.140967852739143
0.216062676923768,0.175413214926401,0.000601775949626055,6.29159038745205,0.709469750884303,0,1.78687718228787e-07,1.9522351518427e-06,0.000745776908365613,5.0236780157905e-07,5.44857033067151e-06,0,2.34658915327168e-05,1.49861481023161e-08,0.0058789863735452,1.81793136304571e-06,10.1146753682635,0.00640635852380316,0.0646868641149839,0.470542585434831,0.10050963175484,0.100448600626883,0.00640817394022622,0.00565560606393858,1.92245218206787e-06,0.000750752459864586,10.193470750723,10.0446478609269,0.00986019720002737,0.0100002112585372,329.493785856272,292.829703799412,0.125086714257451
0.219449573065479,0.175795477392166,0.000602061547742507,6.7737922834213,0.764524931529091,0,2.23870125264882e-07,2.42153181041295e-06,0.000938593317140505,6.24124635339203e-07,6.71381249157813e-06,0,2.68770079472082e-05,1.59885482877219e-08,0.00682223282898284,2.0048003708116e-06,10.1320741676001,0.00732703159814783,0.0741105460282738,0.470535268865542,0.100589253507101,0.100519747816072,0.00732896632264073,0.00646851540819372,2.19868989679222e-06,0.000858516189954105,10.2224805811896,10.0517299942792,0.0098400043617784,0.0100002435275601,329.655343917591,292.964680670741,0.134976871329711
0.222690876359193,0.176161075137291,0.000602333949276096,6.4826065874288,0.731195490249836,0,2.75273129154354e-07,2.93523158841536e-06,0.00102739955600483,7.60958573392644e-07,8.06489862408967e-06,0,3.07603291884043e-05,1.70403315092347e-08,0.00776664248239217,2.10356644302574e-06,10.1494784315574,0.00839613788441072,0.085070291766246,0.470528291051558,0.100669442131178,0.100591661713332,0.00839820441357666,0.00741248886236367,2.519461324073e-06,0.000983649022047048,10.2514164195874,10.0588886861748,0.00982005198216599,0.0100002758606513,329.810195351838,293.094087875793,0.129407205051331
0.226017117474855,0.176536381976429,0.000602613446233232,6.65248223132337,0.750613678276414,0,3.34307088742657e-07,3.53901736873286e-06,0.001207571560635,9.17218862702309e-07,9.65915143024339e-06,0,3.52202949929901e-05,1.81731880685993e-08,0.00891993160917152,2.26571311872914e-06,10.1668923916984,0.00961365573737167,0.0975735915548723,0.470521134675688,0.100750229623688,0.100664391217895,0.00961586064548701,0.00848744818662927,2.8847581936461e-06,0.0011262075507424,10.2802819447145,10.0661288208751,0.00980033720529303,0.0100003082624113,329.969465265044,293.227203903108,0.133116027315411
